,review,score,source,cleaned_review,cleaned_reduced_review,cleaned_review_length
46,Who in their right mind is gonna buy this battery?.,0,amz,Who in their right mind is gonna buy this battery,right mind gonna buy battery,10
47,AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,0,amz,AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS,arguing verizon regarding dropped calls returned phones two days,15
48,This case seems well made.,1,amz,This case seems well made,case seems well made,5
49,Disappointed with battery.,0,amz,Disappointed with battery,disappointed battery,3
50,Not loud enough and doesn't turn on like it should.,0,amz,Not loud enough and doesnt turn on like it should,loud enough doesnt turn like,10
51,good protection and does not make phone too bulky.,1,amz,good protection and does not make phone too bulky,good protection make phone bulky,9
52,A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,1,amz,A usable keyboard actually turns a PDA into a realworld useful machine instead of just a neat gadget,usable keyboard actually turns pda realworld useful machine instead neat gadget,18
53,This phone is pretty sturdy and I've never had any large problems with it.,1,amz,This phone is pretty sturdy and Ive never had any large problems with it,phone pretty sturdy ive never large problems,14
54,I love this thing!,1,amz,I love this thing,love thing,4
55,Everything about it is fine and reasonable for the price i.e.,1,amz,Everything about it is fine and reasonable for the price ie,everything fine reasonable price ie,11
56,VERY DISAPPOINTED.,0,amz,VERY DISAPPOINTED,disappointed,2
57,I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,1,amz,I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great,even dropped phone stream submerged 15 seconds still works great,20
58,I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,1,amz,I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end,happy 510 complaints one regarding sound quality end,23
59,The buttons for on and off are bad.,0,amz,The buttons for on and off are bad,buttons bad,8
60,Essentially you can forget Microsoft's tech support.,0,amz,Essentially you can forget Microsofts tech support,essentially forget microsofts tech support,7
61,"I really recommend this faceplates since it looks very nice, elegant and cool.",1,amz,I really recommend this faceplates since it looks very nice elegant and cool,really recommend faceplates since looks nice elegant cool,13
62,These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,1,amz,These headphones were a great find  and I think they are perhaps the best purchase Ive made in the last several years  seriously,headphones great find think perhaps best purchase ive made last several years seriously,23
63,Buy a different phone - but not this.,0,amz,Buy a different phone  but not this,buy different phone,7
64,You have to hold the phone at a particular angle for the other party to hear you clearly.,0,amz,You have to hold the phone at a particular angle for the other party to hear you clearly,hold phone particular angle party hear clearly,18
65,The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,0,amz,The one big drawback of the MP3 player is that the buttons on the phones front cover that let you pause and skip songs lock out after a few seconds,one big drawback mp3 player buttons phones front cover let pause skip songs lock seconds,30
66,"A week later after I activated it, it suddenly died.",0,amz,A week later after I activated it it suddenly died,week later activated suddenly died,10
67,It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,1,amz,It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes,feels comfortable headsets wear glasses gets way sometimes,18
68,Great for iPODs too.,1,amz,Great for iPODs too,great ipods,4
69,This device is great in several situations:1.),1,amz,This device is great in several situations1,device great several situations1,7
70,Mic Doesn't work.,0,amz,Mic Doesnt work,mic doesnt work,3
71,"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",0,amz,Even in my BMW 3 series which is fairly quiet I have trouble hearing what the other person is saying,even bmw 3 series fairly quiet trouble hearing person saying,20
72,Great choice!,1,amz,Great choice,great choice,2
73,Nice docking station for home or work.,1,amz,Nice docking station for home or work,nice docking station home work,7
74,This is a beautiful phone.,1,amz,This is a beautiful phone,beautiful phone,5
75,Love this product.,1,amz,Love this product,love product,3
76,Do Not Buy for D807...wrongly advertised for D807.,0,amz,Do Not Buy for D807wrongly advertised for D807,buy d807wrongly advertised d807,8
77,This is a great little item.,1,amz,This is a great little item,great little item,6
78,"I love this phone , It is very handy and has a lot of features .",1,amz,I love this phone  It is very handy and has a lot of features ,love phone handy lot features,14
79,I purchased this and within 2 days it was no longer working!!!!!!!!!,0,amz,I purchased this and within 2 days it was no longer working,purchased within 2 days longer working,12
80,I wear it everyday and it holds up very well.,1,amz,I wear it everyday and it holds up very well,wear everyday holds well,10
81,Not a good bargain.,0,amz,Not a good bargain,good bargain,4
82,"Well packaged, arrived on time, and works as intended.",1,amz,Well packaged arrived on time and works as intended,well packaged arrived time works intended,9
83,The battery runs down quickly.,0,amz,The battery runs down quickly,battery runs quickly,5
84,"This item worked great, but it broke after 6 months of use.",0,amz,This item worked great but it broke after 6 months of use,item worked great broke 6 months use,12
85,The headsets are easy to use and everyone loves them.,1,amz,The headsets are easy to use and everyone loves them,headsets easy use everyone loves,10
86,This phone works great.,1,amz,This phone works great,phone works great,4
87,The construction of the headsets is poor.,0,amz,The construction of the headsets is poor,construction headsets poor,7
88,Product was excellent and works better than the verizon one and Boy was it cheaper!,1,amz,Product was excellent and works better than the verizon one and Boy was it cheaper,product excellent works better verizon one boy cheaper,15
89,The phone loads super!,1,amz,The phone loads super,phone loads super,4
90,"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",0,amz,For a product that costs as much as this one does I expect it to work far better and with greater ease than this thing does,product costs much one expect work far better greater ease thing,26
91,Made very sturdy.,1,amz,Made very sturdy,made sturdy,3
92,Worked great!.,1,amz,Worked great,worked great,2
93,The ear buds only play music in one ear.,0,amz,The ear buds only play music in one ear,ear buds play music one ear,9
94,Dont waste your money...,0,amz,Dont waste your money,dont waste money,4
95,Will order from them again!,1,amz,Will order from them again,order,5
96,If you plan to use this in a car forget about it.,0,amz,If you plan to use this in a car forget about it,plan use car forget,12
97,I found this product to be waaay too big.,0,amz,I found this product to be waaay too big,found product waaay big,9
98,Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,1,amz,Best Ive found so far  Ive tried 2 other bluetooths and this one has the best quality for both me and the listener as well as ease of using,best ive found far ive tried 2 bluetooths one best quality listener well ease using,29
99,I'm very disappointed with my decision.,0,amz,Im very disappointed with my decision,im disappointed decision,6
100,Integrated seamlessly with the Motorola RAZR phone.,1,amz,Integrated seamlessly with the Motorola RAZR phone,integrated seamlessly motorola razr phone,7
101,"Buyer Beware, you could flush money right down the toilet.",0,amz,Buyer Beware you could flush money right down the toilet,buyer beware could flush money right toilet,10
102,Definitely a bargain.,1,amz,Definitely a bargain,definitely bargain,3
103,The price was very good and with the free shipping and all it was a good purchase.,1,amz,The price was very good and with the free shipping and all it was a good purchase,price good free shipping good purchase,17
104,I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,0,amz,I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger,received supposedly new motorola 375 apparently match phone charger,20
105,"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",1,amz,ProsGood camera  very nice pictures  also has cool styles like black and white and more,prosgood camera nice pictures also cool styles like black white,15
106,"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",0,amz,Thats a huge design flaw unless Im not using it correctly which I dont think is the case,thats huge design flaw unless im using correctly dont think case,18
107,"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",1,amz,I love my 350 headset My Jabra350 bluetooth headset is great the reception is very good and the ear piece is a comfortable fit,love 350 headset jabra350 bluetooth headset great reception good ear piece comfortable fit,24
108,"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",0,amz,The camera although rated at an impressive 13 megapixels renders images that fall well below expectations of such a relatively high resolution,camera although rated impressive 13 megapixels renders images fall well expectations relatively high resolution,22
109,I purcashed this for the car charger and it does not work.,0,amz,I purcashed this for the car charger and it does not work,purcashed car charger work,12
110,"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",1,amz,Sound quality on both end is excellent I use headset to call my wife and ask my wife to use headset to call me 2,sound quality end excellent use headset call wife ask wife use headset call 2,25
111,This phone is slim and light and the display is beautiful.,1,amz,This phone is slim and light and the display is beautiful,phone slim light display beautiful,11
112,its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1,amz,its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case,little geeky think thats sex toast rocks oozes sex right battery embedded sleek stylish leather case,28
113,"Great product, fast shipping!.",1,amz,Great product fast shipping,great product fast shipping,4
114,Absolutely great.,1,amz,Absolutely great,absolutely great,2
115,The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,1,amz,The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad,keyboard nice compromise full qwerty basic cell phone number keypad,17
116,i got this phone around the end of may and i'm completely unhappy with it.,0,amz,i got this phone around the end of may and im completely unhappy with it,got phone around end may im completely unhappy,15
117,It is very comfortable on the ear.,1,amz,It is very comfortable on the ear,comfortable ear,7
118,It has been a winner for us.,1,amz,It has been a winner for us,winner us,7
119,)Setup couldn't have been simpler.,1,amz,Setup couldnt have been simpler,setup couldnt simpler,5
120,I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,1,amz,Ive tried several different earpieces for my cell phone and this Jabra one is the first one Ive found that fits my ear comfortably,ive tried several different earpieces cell phone jabra one first one ive found fits ear comfortably,24
121,Could not get strong enough signal.,0,amz,Could not get strong enough signal,could get strong enough signal,6
122,Iam very pleased with my purchase.,1,amz,Iam very pleased with my purchase,iam pleased purchase,6
123,Bad Quality.,0,amz,Bad Quality,bad quality,2
124,Gets the job done.,1,amz,Gets the job done,gets job done,4
125,Great audio!.,1,amz,Great audio,great audio,2
126,Basically the service was very bad.,0,amz,Basically the service was very bad,basically service bad,6
127,it did not work in my cell phone plug i am very up set with the charger!.,0,amz,it did not work in my cell phone plug i am very up set with the charger,work cell phone plug set charger,17
128,"I've only had my bluetooth for a few weeks, but I really like it.",1,amz,Ive only had my bluetooth for a few weeks but I really like it,ive bluetooth weeks really like,14
129,The BT headset was such a disapoinment.,0,amz,The BT headset was such a disapoinment,bt headset disapoinment,7
130,It is so small and you don't even realize that it is there after a while of getting used to it.,1,amz,It is so small and you dont even realize that it is there after a while of getting used to it,small dont even realize getting used,21
131,The accompanied software is almost brilliant.,1,amz,The accompanied software is almost brilliant,accompanied software almost brilliant,6
132,Headset works great & was packaged nicely to avoid any damage.,1,amz,Headset works great  was packaged nicely to avoid any damage,headset works great packaged nicely avoid damage,10
133,!I definitly recommend!!,1,amz,I definitly recommend,definitly recommend,3
134,Buyer--Be Very Careful!!!!!.,0,amz,BuyerBe Very Careful,buyerbe careful,3
135,The majority of the Logitech earbud headsets failed.,0,amz,The majority of the Logitech earbud headsets failed,majority logitech earbud headsets failed,8
136,Very good stuff for the price.,1,amz,Very good stuff for the price,good stuff price,6
137,My headset works just peachy-keen.,1,amz,My headset works just peachykeen,headset works peachykeen,5
138,In my house I was getting dropped coverage upstairs and no coverage in my basement.,0,amz,In my house I was getting dropped coverage upstairs and no coverage in my basement,house getting dropped coverage upstairs coverage basement,15
139,Voice recognition is tremendous!,1,amz,Voice recognition is tremendous,voice recognition tremendous,4
140,What a waste.,0,amz,What a waste,waste,3
141,"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",0,amz,During several different 2 minute calls I experienced 5 drops and it was in an area that had 5 bars,several different 2 minute calls experienced 5 drops area 5 bars,20
142,I was not happy with this item.,0,amz,I was not happy with this item,happy item,7
143,very disappointed.,0,amz,very disappointed,disappointed,2
144,The phone takes FOREVER to charge like 2 to 5 hours literally.,0,amz,The phone takes FOREVER to charge like 2 to 5 hours literally,phone takes forever charge like 2 5 hours literally,12
145,I got this phone on reccomendation from a relative and I'm glad I did.,1,amz,I got this phone on reccomendation from a relative and Im glad I did,got phone reccomendation relative im glad,14
146,What a waste of time!,0,amz,What a waste of time,waste time,5
147,Its reception is very very poor.,0,amz,Its reception is very very poor,reception poor,6
148,Items stated as included from the description ARE NOT INCLUDED.,0,amz,Items stated as included from the description ARE NOT INCLUDED,items stated included description included,10
149,"After 3 months, screen just went black all of a sudden.",0,amz,After 3 months screen just went black all of a sudden,3 months screen went black sudden,11
150,I Was Hoping for More.,0,amz,I Was Hoping for More,hoping,5
151,"Audio Quality is poor, very poor.",0,amz,Audio Quality is poor very poor,audio quality poor poor,6
152,I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,1,amz,I had absolutely no problem with this headset linking to my 8530 Blackberry Curve,absolutely problem headset linking 8530 blackberry curve,14
153,"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",1,amz,I know that sounds funny but to me it seemed like sketchy technology that wouldnt work wellWell this one works great,know sounds funny seemed like sketchy technology wouldnt work wellwell one works great,21
154,I've bought $5 wired headphones that sound better than these.,0,amz,Ive bought 5 wired headphones that sound better than these,ive bought 5 wired headphones sound better,10
155,This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1,amz,This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used,phone fast sending kind messages web browsing significantly faster previous phones used,23
156,"Nice quality build, unlike some cheap s*** out there.",1,amz,Nice quality build unlike some cheap s out there,nice quality build unlike cheap,9
157,This item is fantastic and works perfectly!,1,amz,This item is fantastic and works perfectly,item fantastic works perfectly,7
158,And I just love the colors!,1,amz,And I just love the colors,love colors,6
159,W810i is just SUPERB.,1,amz,W810i is just SUPERB,w810i superb,4
160,"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",0,amz,All I can do is whine on the Internet so here it goesThe more I use the thing the less I like it,whine internet goesthe use thing less like,23
161,Great charger.,1,amz,Great charger,great charger,2
162,This is essentially a communications tool that does not communicate.,0,amz,This is essentially a communications tool that does not communicate,essentially communications tool communicate,10
163,Works like a charm; it work the same as the one I got with the phone.,1,amz,Works like a charm it work the same as the one I got with the phone,works like charm work one got phone,16
164,"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",0,amz,I still maintain that monkeys shouldnt make headphones we just obviously dont share enough DNA to copy the design over to humans,still maintain monkeys shouldnt make headphones obviously dont share enough dna copy design humans,22
165,Great Value.,1,amz,Great Value,great value,2
166,Doesn't work at all.. I bougth it for my L7c and its not working.,0,amz,Doesnt work at all I bougth it for my L7c and its not working,doesnt work bougth l7c working,14
167,"The look of it is very sharp and the screen is nice and clear, with great graphics.",1,amz,The look of it is very sharp and the screen is nice and clear with great graphics,look sharp screen nice clear great graphics,17
168,doesn't last long.,0,amz,doesnt last long,doesnt last long,3
169,One thing I hate is the mode set button at the side.,0,amz,One thing I hate is the mode set button at the side,one thing hate mode set button side,12
170,EXCELLENT SERVICE!!!!!!!!.,1,amz,EXCELLENT SERVICE,excellent service,2
171,Thank you for wasting my money.,0,amz,Thank you for wasting my money,thank wasting money,6
172,How can that be?The audio quality is poor.,0,amz,How can that beThe audio quality is poor,bethe audio quality poor,8
173,The iGo chargers and tips are really great.,1,amz,The iGo chargers and tips are really great,igo chargers tips really great,8
174,The file browser offers all the options that one needs.Handsfree is great.,1,amz,The file browser offers all the options that one needsHandsfree is great,file browser offers options one needshandsfree great,12
175,Superb Phone on a Great Network.,1,amz,Superb Phone on a Great Network,superb phone great network,6
176,"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",1,amz,I connected my wifes bluetoothMotorola HS850 to my phone and it worked like a charm whether the phone was in my pocket or the case,connected wifes bluetoothmotorola hs850 phone worked like charm whether phone pocket case,25
177,"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",0,amz,I put the latest OS on it v115g and it now likes to slow to a crawl and lock up every once in a while,put latest os v115g likes slow crawl lock every,25
178,It only recognizes the Phone as its storage device.,0,amz,It only recognizes the Phone as its storage device,recognizes phone storage device,9
179,"If you like a loud buzzing to override all your conversations, then this phone is for you!",0,amz,If you like a loud buzzing to override all your conversations then this phone is for you,like loud buzzing override conversations phone,17
180,Don't buy this product.,0,amz,Dont buy this product,dont buy product,4
181,I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,0,amz,Ive had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear,ive bluetoooth headset time still comfortable way fits ear,21
182,The sound quality is good and functionality is awesome.,1,amz,The sound quality is good and functionality is awesome,sound quality good functionality awesome,9
183,"I have this phone and it is a thorn in my side, I really abhor it.",0,amz,I have this phone and it is a thorn in my side I really abhor it,phone thorn side really abhor,16
184,I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,0,amz,I recently had problems where I could not stay connected for more than 10 minutes before being disconnected,recently problems could stay connected 10 minutes disconnected,18
185,Incredible!.,1,amz,Incredible,incredible,1
186,Design Flaw?.,0,amz,Design Flaw,design flaw,2
187,Great phone!.,1,amz,Great phone,great phone,2
188,Waste of 13 bucks.,0,amz,Waste of 13 bucks,waste 13 bucks,4
189,"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",0,amz,But when I check voice mail at night the keypad backlight turns off a few seconds into the first message and then Im lost,check voice mail night keypad backlight turns seconds first message im lost,24
190,The replacement died in a few weeks.,0,amz,The replacement died in a few weeks,replacement died weeks,7
191,Any ring tone..Overall good phone to buy..,1,amz,Any ring toneOverall good phone to buy,ring toneoverall good phone buy,7
192,Lately they have been extremely nice and helpful on the phone.,1,amz,Lately they have been extremely nice and helpful on the phone,lately extremely nice helpful phone,11
193,I have had problems wit hit dropping signal and more.,0,amz,I have had problems wit hit dropping signal and more,problems wit hit dropping signal,10
194,Not impressed.,0,amz,Not impressed,impressed,2
195,"Light weight, I hardly notice it is there.",1,amz,Light weight I hardly notice it is there,light weight hardly notice,8
196,You'll love how thin it is.,1,amz,Youll love how thin it is,youll love thin,6
197,Bad Choice.,0,amz,Bad Choice,bad choice,2
198,The pleather case doesn't fit.,0,amz,The pleather case doesnt fit,pleather case doesnt fit,5
199,"useless phone, simply deaf.",0,amz,useless phone simply deaf,useless phone simply deaf,4
200,"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",1,amz,The color is even prettier than I thought it would be and the graphics are incredibly sharp,color even prettier thought would graphics incredibly sharp,17
201,All in all I think it was a good investment.,1,amz,All in all I think it was a good investment,think good investment,10
202,It makes very strange ticking noises before it ends the call.,0,amz,It makes very strange ticking noises before it ends the call,makes strange ticking noises ends call,11
203,The best electronics of the available FM Transmitters.,1,amz,The best electronics of the available FM Transmitters,best electronics available fm transmitters,8
204,Battery lasts only a few hours.,0,amz,Battery lasts only a few hours,battery lasts hours,6
205,"great headset, very impressed - H500.",1,amz,great headset very impressed  H500,great headset impressed h500,5
206,"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",1,amz,The 12 mega pixel camera being a part of a phone is reasonably good7,12 mega pixel camera part phone reasonably good7,14
207,I've had this for nearly 2 years and it has worked great for me.,1,amz,Ive had this for nearly 2 years and it has worked great for me,ive nearly 2 years worked great,14
208,Good transmit audio.,1,amz,Good transmit audio,good transmit audio,3
209,We are sending it back.,0,amz,We are sending it back,sending back,5
210,I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,0,amz,I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway,bother contacting company dollar product learned lesson bought form online anyway,26
211,"If you hate earbugs, avoid this phone by all means.",0,amz,If you hate earbugs avoid this phone by all means,hate earbugs avoid phone means,10
212,Great price also!,1,amz,Great price also,great price also,3
213,"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",1,amz,The range is very decent Ive been able to roam around my house with the phone in the living room with no receptionsound quality issues,range decent ive able roam around house phone living room receptionsound quality issues,25
214,fast service.,1,amz,fast service,fast service,2
215,I would highly recommend this.,1,amz,I would highly recommend this,would highly recommend,5
216,I would recommend this.,1,amz,I would recommend this,would recommend,4
217,"I also didn't like the ""on"" button, it felt like it would crack with use.",0,amz,I also didnt like the on button it felt like it would crack with use,also didnt like button felt like would crack use,15
218,WORST PHONE EVER.,0,amz,WORST PHONE EVER,worst phone ever,3
219,I'm still infatuated with this phone.,1,amz,Im still infatuated with this phone,im still infatuated phone,6
220,Freezes frequently4.,0,amz,Freezes frequently4,freezes frequently4,2
221,It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,0,amz,Its kind of embarrassing to use because of how it looks and mostly its embarrassing how childlike the company is,kind embarrassing use looks mostly embarrassing childlike company,20
222,"Simple, lightweight and great fit.",1,amz,Simple lightweight and great fit,simple lightweight great fit,5
223,"All in all, I'd expected a better consumer experience from Motorola.",0,amz,All in all Id expected a better consumer experience from Motorola,id expected better consumer experience motorola,11
224,There's a horrible tick sound in the background on all my calls that I have never experienced before.,0,amz,Theres a horrible tick sound in the background on all my calls that I have never experienced before,theres horrible tick sound background calls never experienced,18
225,These are certainly very comfortable and functionality is decent.,1,amz,These are certainly very comfortable and functionality is decent,certainly comfortable functionality decent,9
226,I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1,amz,I usually dont like headbands but this one is very lightweight  doesnt mess up my hair,usually dont like headbands one lightweight doesnt mess hair,16
227,I'm a bit disappointed.,0,amz,Im a bit disappointed,im bit disappointed,4
228,"I have had this phone for over a year now, and I will tell you, its not that great.",0,amz,I have had this phone for over a year now and I will tell you its not that great,phone year tell great,19
229,I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,0,amz,I ordered this for sony Ericsson W810i but I think it only worked once thats when I first used it,ordered sony ericsson w810i think worked thats first used,20
230,The battery is completely useless to me.,0,amz,The battery is completely useless to me,battery completely useless,7
231,What a big waste of time.,0,amz,What a big waste of time,big waste time,6
232,Don't waste your $$$ on this one.,0,amz,Dont waste your  on this one,dont waste one,6
233,Great sound and service.,1,amz,Great sound and service,great sound service,4
234,Really pleased with this product so far.,1,amz,Really pleased with this product so far,really pleased product far,7
235,One of my favorite purchases ever.,1,amz,One of my favorite purchases ever,one favorite purchases ever,6
236,best bluetooth on the market.,1,amz,best bluetooth on the market,best bluetooth market,5
237,Authentic leather with nice shine and comfort .I recommend you this case !!,1,amz,Authentic leather with nice shine and comfort I recommend you this case ,authentic leather nice shine comfort recommend case,12
238,I was very excited to get this headset because I thought it was really cute.,1,amz,I was very excited to get this headset because I thought it was really cute,excited get headset thought really cute,15
239,Do not make the same mistake as me.,0,amz,Do not make the same mistake as me,make mistake,8
