,review,score,source,cleaned_review,cleaned_reduced_review,cleaned_review_length,tokens,padded_tokens
37,Poor Talk Time Performance.,0,amz,Poor Talk Time Performance,poor talk time performance,4,"[69, 166, 10, 204]","[ 69 166  10 204   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
1703,"The results, well, are a shame.  ",0,imdb,The results well are a shame  ,results well shame,6,"[775, 15, 1123]","[ 775   15 1123    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2789,"Great atmosphere, friendly and fast service.",1,yelp,Great atmosphere friendly and fast service,great atmosphere friendly fast service,6,"[3, 374, 93, 235, 13]","[  3 374  93 235  13   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
2592,OMG I felt like I had never eaten Thai food until this dish.,1,yelp,OMG I felt like I had never eaten Thai food until this dish,omg felt like never eaten thai food dish,13,"[1124, 182, 8, 34, 622, 623, 9, 509]","[1124  182    8   34  622  623    9  509    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1747,"Aailiyah was pretty good as Akasha, in places compelling (her first entrance and mini dance scene).  ",1,imdb,Aailiyah was pretty good as Akasha in places compelling her first entrance and mini dance scene  ,aailiyah pretty good akasha places compelling first entrance mini dance scene,16,"[1803, 57, 2, 1804, 375, 1125, 33, 1805, 1806, 1126, 260]","[1803   57    2 1804  375 1125   33 1805 1806 1126  260    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1748,"I'm a big fan of this series mostly due to Anne Rice's style, sensitivities and treatments.  ",1,imdb,Im a big fan of this series mostly due to Anne Rices style sensitivities and treatments  ,im big fan series mostly due anne rices style sensitivities treatments,16,"[31, 143, 624, 431, 510, 776, 1127, 1807, 376, 1808, 1809]","[  31  143  624  431  510  776 1127 1807  376 1808 1809    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1257,It was so funny.  ,1,imdb,It was so funny  ,funny,4,[152],"[152   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
2573,"He also came back to check on us regularly, excellent service.",1,yelp,He also came back to check on us regularly excellent service,also came back check us regularly excellent service,11,"[19, 59, 20, 432, 98, 1810, 39, 13]","[  19   59   20  432   98 1810   39   13    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1145,"This movie is a pure disaster, the story is stupid and the editing is the worst I have seen, it confuses you incredibly.  ",0,imdb,This movie is a pure disaster the story is stupid and the editing is the worst I have seen it confuses you incredibly  ,movie pure disaster story stupid editing worst seen confuses incredibly,23,"[4, 777, 778, 99, 183, 511, 63, 94, 1811, 512]","[   4  777  778   99  183  511   63   94 1811  512    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2818,It kept getting worse and worse so now I'm officially done.,0,yelp,It kept getting worse and worse so now Im officially done,kept getting worse worse im officially done,11,"[261, 377, 184, 184, 31, 1812, 236]","[ 261  377  184  184   31 1812  236    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
940,A lot of websites have been rating this a very good phone and so do I.,1,amz,A lot of websites have been rating this a very good phone and so do I,lot websites rating good phone,16,"[80, 1813, 625, 2, 5]","[  80 1813  625    2    5    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2914,I'm not impressed with the concept or the food.,0,yelp,Im not impressed with the concept or the food,im impressed concept food,9,"[31, 127, 1814, 9]","[  31  127 1814    9    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
639,Disappointing accessory from a good manufacturer.,0,amz,Disappointing accessory from a good manufacturer,disappointing accessory good manufacturer,6,"[289, 1815, 2, 1816]","[ 289 1815    2 1816    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1092,It was horrendous.  ,0,imdb,It was horrendous  ,horrendous,3,[1817],"[1817    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1069,"The performances are not improved by improvisation, because the actors now have twice as much to worry about: not only whether they're delivering the line well, but whether the line itself is any good.  ",0,imdb,The performances are not improved by improvisation because the actors now have twice as much to worry about not only whether theyre delivering the line well but whether the line itself is any good  ,performances improved improvisation actors twice much worry whether theyre delivering line well whether line good,34,"[1128, 1818, 1819, 167, 331, 36, 1820, 513, 626, 1129, 185, 15, 513, 185, 2]","[1128 1818 1819  167  331   36 1820  513  626 1129  185   15  513  185
    2    0    0    0    0    0    0    0    0    0    0    0    0]"
1125,10/10  ,1,imdb,1010  ,1010,1,[779],"[779   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
655,"No ear loop needed, it's tiny and the sound is great.",1,amz,No ear loop needed its tiny and the sound is great,ear loop needed tiny sound great,11,"[81, 1821, 378, 780, 40, 3]","[  81 1821  378  780   40    3    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2689,"Good food , good service .",1,yelp,Good food  good service ,good food good service,4,"[2, 9, 2, 13]","[ 2  9  2 13  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0]"
2353,It shouldn't take 30 min for pancakes and eggs.,0,yelp,It shouldnt take 30 min for pancakes and eggs,shouldnt take 30 min pancakes eggs,9,"[1130, 115, 379, 1131, 1132, 1133]","[1130  115  379 1131 1132 1133    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
418,"Att is not clear, sound is very distorted and you have to yell when you talk.",0,amz,Att is not clear sound is very distorted and you have to yell when you talk,att clear sound distorted yell talk,16,"[1134, 262, 40, 1135, 1822, 166]","[1134  262   40 1135 1822  166    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1230,"However, I recently watched the whole thing again on DVD, and I was completely struck by how extremely stupid the storyline was - how it contained holes, inconsistencies and - frankly - a whole lot of crap - and how horrid the dancing was.  ",0,imdb,However I recently watched the whole thing again on DVD and I was completely struck by how extremely stupid the storyline was  how it contained holes inconsistencies and  frankly  a whole lot of crap  and how horrid the dancing was  ,however recently watched whole thing dvd completely struck extremely stupid storyline contained holes inconsistencies frankly whole lot crap horrid dancing,40,"[128, 627, 237, 205, 56, 781, 206, 1136, 290, 183, 628, 1137, 514, 1823, 1824, 205, 80, 288, 1825, 1138]","[ 128  627  237  205   56  781  206 1136  290  183  628 1137  514 1823
 1824  205   80  288 1825 1138    0    0    0    0    0    0    0]"
1142,"It is an hour and half waste of time, following a bunch of very pretty high schoolers whine and cry about life.  ",0,imdb,It is an hour and half waste of time following a bunch of very pretty high schoolers whine and cry about life  ,hour half waste time following bunch pretty high schoolers whine cry life,22,"[207, 332, 64, 10, 1139, 782, 57, 291, 1826, 1140, 1827, 100]","[ 207  332   64   10 1139  782   57  291 1826 1140 1827  100    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1171,This movie now joins Revenge of the Boogeyman and Zombiez as part of the hellish trinity of horror films.  ,0,imdb,This movie now joins Revenge of the Boogeyman and Zombiez as part of the hellish trinity of horror films  ,movie joins revenge boogeyman zombiez part hellish trinity horror films,19,"[4, 1828, 1829, 1830, 1831, 144, 1832, 1833, 433, 82]","[   4 1828 1829 1830 1831  144 1832 1833  433   82    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2473,Don't waste your time here.,0,yelp,Dont waste your time here,dont waste time,5,"[18, 64, 10]","[18 64 10  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0]"
2223,Hopefully this bodes for them going out of business and someone who can cook can come in.,0,yelp,Hopefully this bodes for them going out of business and someone who can cook can come in,hopefully bodes going business someone cook come,17,"[1141, 1834, 60, 515, 380, 1142, 186]","[1141 1834   60  515  380 1142  186    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2663,Both great!,1,yelp,Both great,great,2,[3],[3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2088,Omelets are to die for!,1,yelp,Omelets are to die for,omelets die,5,"[1835, 1143]","[1835 1143    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2227,The folks at Otto always make us feel so welcome and special.,1,yelp,The folks at Otto always make us feel so welcome and special,folks otto always make us feel welcome special,12,"[629, 1836, 129, 41, 98, 208, 1837, 209]","[ 629 1836  129   41   98  208 1837  209    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2660,"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).",1,yelp,I personally love the hummus pita baklava falafels and Baba Ganoush its amazing what they do with eggplant,personally love hummus pita baklava falafels baba ganoush amazing eggplant,18,"[1144, 32, 783, 784, 1838, 1839, 1840, 1841, 74, 1842]","[1144   32  783  784 1838 1839 1840 1841   74 1842    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2480,We asked for the bill to leave without eating and they didn't bring that either.,0,yelp,We asked for the bill to leave without eating and they didnt bring that either,asked bill leave without eating didnt bring either,15,"[630, 785, 516, 238, 333, 50, 434, 263]","[630 785 516 238 333  50 434 263   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
1718,"Top line: Don't waste your time and money on this one, its as bad as it comes.  ",0,imdb,Top line Dont waste your time and money on this one its as bad as it comes  ,top line dont waste time money one bad comes,17,"[381, 185, 18, 64, 10, 89, 7, 14, 382]","[381 185  18  64  10  89   7  14 382   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
202,It makes very strange ticking noises before it ends the call.,0,amz,It makes very strange ticking noises before it ends the call,makes strange ticking noises ends call,11,"[168, 786, 1843, 1844, 1845, 292]","[ 168  786 1843 1844 1845  292    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2678,It's a great place and I highly recommend it.,1,yelp,Its a great place and I highly recommend it,great place highly recommend,9,"[3, 11, 145, 37]","[  3  11 145  37   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
810,Improper description.... I had to return it.,0,amz,Improper description I had to return it,improper description return,7,"[1846, 1145, 293]","[1846 1145  293    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2980,"I have been to very few places to eat that under no circumstances would I ever return to, and this tops the list.",0,yelp,I have been to very few places to eat that under no circumstances would I ever return to and this tops the list,places eat circumstances would ever return tops list,23,"[375, 130, 1146, 16, 21, 293, 1147, 787]","[ 375  130 1146   16   21  293 1147  787    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2479,I LOVED it!,1,yelp,I LOVED it,loved,3,[109],"[109   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
2630,Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !,1,yelp,Four stars for the food  the guy in the blue shirt for his great vibe  still letting us in to eat ,four stars food guy blue shirt great vibe still letting us eat,21,"[788, 181, 9, 631, 789, 1847, 3, 790, 48, 791, 98, 130]","[ 788  181    9  631  789 1847    3  790   48  791   98  130    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
369,I was looking for this headset for a long time and now that I've got it I couldn't be happier.,1,amz,I was looking for this headset for a long time and now that Ive got it I couldnt be happier,looking headset long time ive got couldnt happier,20,"[334, 46, 95, 10, 24, 51, 116, 792]","[334  46  95  10  24  51 116 792   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
194,Not impressed.,0,amz,Not impressed,impressed,2,[127],"[127   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
2609,I will not be eating there again.,0,yelp,I will not be eating there again,eating,7,[333],"[333   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
501,This battery is an excellent bargain!,1,amz,This battery is an excellent bargain,battery excellent bargain,6,"[47, 39, 793]","[ 47  39 793   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
1583,It failed to convey the broad sweep of landscapes that were a great part of the original.  ,0,imdb,It failed to convey the broad sweep of landscapes that were a great part of the original  ,failed convey broad sweep landscapes great part original,17,"[794, 1848, 1849, 1850, 1851, 3, 144, 264]","[ 794 1848 1849 1850 1851    3  144  264    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2483,The selection of food was not the best.,0,yelp,The selection of food was not the best,selection food best,8,"[383, 9, 22]","[383   9  22   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
886,"I didn't want the clip going over the top of my ear, causing discomfort.",0,amz,I didnt want the clip going over the top of my ear causing discomfort,didnt want clip going top ear causing discomfort,14,"[50, 101, 795, 60, 381, 81, 1852, 1148]","[  50  101  795   60  381   81 1852 1148    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1767,"I am so tired of clichés that is just lazy writing, and here they come in thick and fast.  ",0,imdb,I am so tired of clichés that is just lazy writing and here they come in thick and fast  ,tired clichés lazy writing come thick fast,19,"[1853, 1149, 1150, 187, 186, 1151, 235]","[1853 1149 1150  187  186 1151  235    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2687,"The decor is nice, and the piano music soundtrack is pleasant.",1,yelp,The decor is nice and the piano music soundtrack is pleasant,decor nice piano music soundtrack pleasant,11,"[1152, 30, 1854, 188, 796, 632]","[1152   30 1854  188  796  632    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2701,I wasn't really impressed with Strip Steak.,0,yelp,I wasnt really impressed with Strip Steak,wasnt really impressed strip steak,7,"[105, 12, 127, 633, 169]","[105  12 127 633 169   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
297,This one works and was priced right.,1,amz,This one works and was priced right,one works priced right,7,"[7, 27, 384, 75]","[  7  27 384  75   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
2057,Not much seafood and like 5 strings of pasta at the bottom.,0,yelp,Not much seafood and like 5 strings of pasta at the bottom,much seafood like 5 strings pasta bottom,12,"[36, 634, 8, 180, 1855, 797, 1153]","[  36  634    8  180 1855  797 1153    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2245,-Drinks took close to 30 minutes to come out at one point.,0,yelp,Drinks took close to 30 minutes to come out at one point,drinks took close 30 minutes come one point,12,"[798, 210, 517, 379, 83, 186, 7, 435]","[798 210 517 379  83 186   7 435   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
1106,"The only thing really worth watching was the scenery and the house, because it is beautiful.  ",1,imdb,The only thing really worth watching was the scenery and the house because it is beautiful  ,thing really worth watching scenery house beautiful,16,"[56, 12, 76, 117, 1856, 335, 211]","[  56   12   76  117 1856  335  211    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2918,They brought a fresh batch of fries and I was thinking yay something warm but no!,0,yelp,They brought a fresh batch of fries and I was thinking yay something warm but no,brought fresh batch fries thinking yay something warm,16,"[799, 153, 1857, 336, 800, 1858, 294, 436]","[ 799  153 1857  336  800 1858  294  436    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2040,The shrimp tender and moist.,1,yelp,The shrimp tender and moist,shrimp tender moist,5,"[635, 518, 801]","[635 518 801   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
2873,My boyfriend and i sat at the bar and had a completely delightful experience.,1,yelp,My boyfriend and i sat at the bar and had a completely delightful experience,boyfriend sat bar completely delightful experience,14,"[802, 519, 385, 206, 803, 70]","[802 519 385 206 803  70   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
2474,"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.",0,yelp,Total letdown I would much rather just go to the Camelback Flower Shop and Cartel Coffee,total letdown would much rather go camelback flower shop cartel coffee,16,"[636, 1859, 16, 36, 239, 25, 1860, 1154, 1861, 1862, 1155]","[ 636 1859   16   36  239   25 1860 1154 1861 1862 1155    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
232,Don't waste your $$$ on this one.,0,amz,Dont waste your  on this one,dont waste one,6,"[18, 64, 7]","[18 64  7  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0]"
929,As I said above....PRETTY USELESS!,0,amz,As I said abovePRETTY USELESS,said abovepretty useless,5,"[212, 1863, 637]","[ 212 1863  637    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2917,I got food poisoning here at the buffet.,0,yelp,I got food poisoning here at the buffet,got food poisoning buffet,8,"[51, 9, 1864, 265]","[  51    9 1864  265    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1146,The fish is badly made and some of its underwater shots are repeated a thousand times in the film.  ,0,imdb,The fish is badly made and some of its underwater shots are repeated a thousand times in the film  ,fish badly made underwater shots repeated thousand times film,19,"[437, 1865, 28, 1866, 804, 1867, 1868, 189, 6]","[ 437 1865   28 1866  804 1867 1868  189    6    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2274,The chefs were friendly and did a good job.,1,yelp,The chefs were friendly and did a good job,chefs friendly good job,9,"[1869, 93, 2, 213]","[1869   93    2  213    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2566,"The servers went back and forth several times, not even so much as an ""Are you being helped?""",0,yelp,The servers went back and forth several times not even so much as an Are you being helped,servers went back forth several times even much helped,18,"[520, 131, 20, 1870, 295, 189, 17, 36, 1156]","[ 520  131   20 1870  295  189   17   36 1156    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2912,"i felt insulted and disrespected, how could you talk and judge another human being like that?",0,yelp,i felt insulted and disrespected how could you talk and judge another human being like that,felt insulted disrespected could talk judge another human like,16,"[182, 805, 1157, 42, 166, 1158, 154, 337, 8]","[ 182  805 1157   42  166 1158  154  337    8    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2578,The staff are also very friendly and efficient.,1,yelp,The staff are also very friendly and efficient,staff also friendly efficient,8,"[170, 19, 93, 1871]","[ 170   19   93 1871    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1166,"This is a bad film, with bad writing, and good actors....an ugly cartoon crafted by Paul Haggis for people who can't handle anything but the bold strokes in storytelling....a picture painted with crayons.  ",0,imdb,This is a bad film with bad writing and good actorsan ugly cartoon crafted by Paul Haggis for people who cant handle anything but the bold strokes in storytellinga picture painted with crayons  ,bad film bad writing good actorsan ugly cartoon crafted paul haggis people cant handle anything bold strokes storytellinga picture painted crayons,33,"[14, 6, 14, 187, 2, 1872, 1159, 1873, 1160, 806, 1874, 53, 65, 1875, 240, 1161, 1876, 1877, 266, 1878, 1879]","[  14    6   14  187    2 1872 1159 1873 1160  806 1874   53   65 1875
  240 1161 1876 1877  266 1878 1879    0    0    0    0    0    0]"
1977,"Instead, we got a bore fest about a whiny, spoiled brat babysitting.  ",0,imdb,Instead we got a bore fest about a whiny spoiled brat babysitting  ,instead got bore fest whiny spoiled brat babysitting,12,"[521, 51, 1162, 1880, 1163, 1881, 1882, 1883]","[ 521   51 1162 1880 1163 1881 1882 1883    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2046,It's too bad the food is so damn generic.,0,yelp,Its too bad the food is so damn generic,bad food damn generic,9,"[14, 9, 522, 1164]","[  14    9  522 1164    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
642,"Obviously they have a terrible customer service, so you get what you pay for.",0,amz,Obviously they have a terrible customer service so you get what you pay for,obviously terrible customer service get pay,14,"[386, 71, 296, 13, 35, 338]","[386  71 296  13  35 338   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
2037,"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0,yelp,Poor service the waiter made me feel like I was stupid every time he came to the table,poor service waiter made feel like stupid every time came table,18,"[69, 13, 387, 28, 208, 8, 183, 61, 10, 59, 388]","[ 69  13 387  28 208   8 183  61  10  59 388   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
2910,I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.,0,yelp,I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off,seriously cannot believe owner many unexperienced employees running around like chickens heads cut,24,"[267, 389, 297, 1165, 77, 1884, 1885, 523, 106, 8, 1886, 1166, 807]","[ 267  389  297 1165   77 1884 1885  523  106    8 1886 1166  807    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2884,"On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate.",0,yelp,On three different occasions I asked for well done or medium well and all three times I got the bloodiest piece of meat on my plate,three different occasions asked well done medium well three times got bloodiest piece meat plate,26,"[298, 241, 1887, 630, 15, 236, 1888, 15, 298, 189, 51, 1889, 146, 524, 1167]","[ 298  241 1887  630   15  236 1888   15  298  189   51 1889  146  524
 1167    0    0    0    0    0    0    0    0    0    0    0    0]"
735,"Provides good protection and looks classy, too.",1,amz,Provides good protection and looks classy too,provides good protection looks classy,7,"[1890, 2, 808, 299, 1891]","[1890    2  808  299 1891    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
684,Chinese Forgeries Abound!.,0,amz,Chinese Forgeries Abound,chinese forgeries abound,3,"[809, 1892, 1893]","[ 809 1892 1893    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1590,I can't believe there's even a sequel to this!  ,0,imdb,I cant believe theres even a sequel to this  ,cant believe theres even sequel,9,"[65, 297, 242, 17, 1894]","[  65  297  242   17 1894    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1294,"He is one of my favourite directors, and one of the most talented directors in the history of cinema.  ",1,imdb,He is one of my favourite directors and one of the most talented directors in the history of cinema  ,one favourite directors one talented directors history cinema,19,"[7, 810, 638, 7, 811, 638, 525, 339]","[  7 810 638   7 811 638 525 339   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
1714,The attractive set used throughout most of the film is an eye-pleasing gem.  ,1,imdb,The attractive set used throughout most of the film is an eyepleasing gem  ,attractive set used throughout film eyepleasing gem,13,"[1168, 390, 90, 639, 6, 1895, 812]","[1168  390   90  639    6 1895  812    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1669,Then the film just dropped the ball.  ,0,imdb,Then the film just dropped the ball  ,film dropped ball,7,"[6, 340, 1896]","[   6  340 1896    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2003,Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1,yelp,Stopped by during the late May bank holiday off Rick Steve recommendation and loved it,stopped late may bank holiday rick steve recommendation loved,15,"[1169, 1120, 300, 1897, 1898, 1899, 813, 1170, 109]","[1169 1120  300 1897 1898 1899  813 1170  109    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2954,"The fries were not hot, and neither was my burger.",0,yelp,The fries were not hot and neither was my burger,fries hot neither burger,10,"[336, 268, 814, 243]","[336 268 814 243   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
807,The reception through this headset is excellent.,1,amz,The reception through this headset is excellent,reception headset excellent,7,"[244, 46, 39]","[244  46  39   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
1625,"Regardless, the film fails on most levels.  ",0,imdb,Regardless the film fails on most levels  ,regardless film fails levels,7,"[1900, 6, 391, 1171]","[1900    6  391 1171    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
990,I'm really disappointed all I have now is a charger that doesn't work.,0,amz,Im really disappointed all I have now is a charger that doesnt work,im really disappointed charger doesnt work,13,"[31, 12, 72, 118, 84, 26]","[ 31  12  72 118  84  26   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
